document_id,snippet_id,snippet,group_folder,code_lev0,code_lev1,code_lev2
3D-CNN based UAV hyperspectral imagery for grassland degradation indicator ground object classification research,Reference 1,"however, the classification accuracy of non-dominant species (companion species) and bare soil in degraded grasslands requires further improvements",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,Reference 1,"With regard to the poor classiﬁcation accuracies from the endmember-based approach, this is likely largely attributable to the very small pixel sizes, as well as to the relatively large number of classes used for these classiﬁcation systems, in conjunction with the relatively small number of bands available with the UAS-derived orthoimages, even though their bandwidths are narrow.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,Reference 2,"More work involving the merging of some classes may increase classiﬁcation accuracy, as a smaller number of classes into which pixels/objects are classiﬁed typically translates into higher classiﬁcation accuracies.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,Reference 1,"while the RGB UAV, even though more detailed (higher spatial resolution), suffered from the smaller number of bands and the type of sensor [50], generating a more speckled classiﬁcation map.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Fine scale plant community assessment in coastal meadows using UAV based multispectral data,Reference 1,"Increasing levels of species diversity correspond to increased spectral diversity, as has been shown in previous studies. However, after reaching the 506 maximum level of species diversity, the curve turns negative indicating an increase in spectral diversity as Shannon’s diversity index decreases. This variation in the relationship can be attributed to two phenomena. On one hand, the sensitivity of spectral diversity to biomass (Fig. 6a) could mask the effect of species diversity. This is indicated by the fact that all the plotted points around the negative section of the loess fitted curve in Fig. 6b correspond to Reed Swamp, which is characterized by a high biomass and a relatively low level of species diversity. On the other hand, the very high spatial resolution imagery provided by sensors mounted on UAVs may lead to artefacts. For instance, in communities characterized by tall vegetation such as Reed Swamp, some pixels may fall in areas with direct sunlight 507 508 509 510 511 512 513 514 while others may fall in shaded areas or gaps between individual plants (Nagendra et al., 2010), therefore increasing the spectral variability of the sample. These results highlight the need to account for the nature and characteristics of spectral diversity when designing and adapting sampling strategies for training plant community classification algorithms",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Improving the efficiency and accuracy of evaluating Aridland riparian habitat restoration using unmanned aerial vehicles,Reference 1,"Our cottonwood-willow class producer’s (82–97%) and user’s accuracies (75–88%) were higher than Dunford et al., (2009) (producer’s accuracies of 46–70% depending on the classiﬁcation method used; user’s accuracies of 37–86%), likely due to our combined species approach.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Mapping Key Indicators of Forest Restoration in the Amazon Using a Low-Cost Drone and Artificial Intelligence,Reference 1,"Vismia automatic delineation was not accurate, but its canopy area was accurately mapped.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Reference 1,"With higher species diversity (n = 10), the accuracy reduced to 53%, although it is expected to improve with additional bands or grouping like species.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Reference 1,"Finally, both changing wind and light conditions may result in different elevation estimates when obtained in different ﬂights, even within an hour.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Reference 1,"whereas RGB-CHM data fusion lacked enough spectral information for this purpose, despite its higher spatial resolution.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
