Field-based,Drone-based
2013,2021
2014,2018
2017,2023
2022,2018
2012,2020
2013,2019
2021,2022
2021,2019
2021,2021
2014,2022
2013,2021
2016,2020
2019,2022
2020,2020
2018,2023
2018,2020
2022,2019
2021,2023
2023,2021
2013,2022
2019,2022
2019,2017
2017,2021
2016,2021
2017,2018
2022,2019
2016,2016
2019,2022
,2021
,2019
,2021
,2022
,2019
,2019
,2018
,2021
,2020
,2019
,2019
,2021
,2022
,2020
,2017
,2023
,2013
,2022
,2020
,2017
,2015
,2021
,2018
,2019
,2018
