,document_id,attribute,code_lev1,code_lev2,snippet_left,snippet_right,group_folder
73,Automatic Identification of Shrub-Encroached Grassland in the Mongolian Plateau Based on UAS Remote Sensing,Fractional veg. cover,Complexity,Positive sentiment,1  regional statistics  for the shrub encroached grassland  in addition to counting the number of shrubs  it can also be analyzed through various aspects such as shrub area statistics and shrub size statistics  the shrub sizes and shrub areas  to some extent  reﬂect the stage of the process of shrub encroached process  under the same climatic conditions  generally smaller shrubs probably mean that the beginning time of shrub encroachment in this area is relatively short  also  the diﬀerence in shrub size and shrub area may also indicate that grassland pressure in this area is more persistent than that in areas with less diﬀerence,1  regional statistics  for the shrub encroached grassland  in addition to counting the number of shrubs  it can also be analyzed through various aspects such as shrub area statistics and shrub size statistics  the shrub sizes and shrub areas  to some extent  reﬂect the stage of the process of shrub encroached process  under the same climatic conditions  generally smaller shrubs probably mean that the beginning time of shrub encroachment in this area is relatively short  also  the diﬀerence in shrub size and shrub area may also indicate that grassland pressure in this area is more persistent than that in areas with less diﬀerence,Drone-assisted studies
76,Automatic Identification of Shrub-Encroached Grassland in the Mongolian Plateau Based on UAS Remote Sensing,Spatial mosaic,Complexity,Positive sentiment,1  regional statistics  for the shrub encroached grassland  in addition to counting the number of shrubs  it can also be analyzed through various aspects such as shrub area statistics and shrub size statistics  the shrub sizes and shrub areas  to some extent  reﬂect the stage of the process of shrub encroached process  under the same climatic conditions  generally smaller shrubs probably mean that the beginning time of shrub encroachment in this area is relatively short  also  the diﬀerence in shrub size and shrub area may also indicate that grassland pressure in this area is more persistent than that in areas with less diﬀerence,1  regional statistics  for the shrub encroached grassland  in addition to counting the number of shrubs  it can also be analyzed through various aspects such as shrub area statistics and shrub size statistics  the shrub sizes and shrub areas  to some extent  reﬂect the stage of the process of shrub encroached process  under the same climatic conditions  generally smaller shrubs probably mean that the beginning time of shrub encroachment in this area is relatively short  also  the diﬀerence in shrub size and shrub area may also indicate that grassland pressure in this area is more persistent than that in areas with less diﬀerence,Drone-assisted studies
75,Automatic Identification of Shrub-Encroached Grassland in the Mongolian Plateau Based on UAS Remote Sensing,"Individuals
(Indicators/Invasives)",Complexity,Positive sentiment,1  regional statistics  for the shrub encroached grassland  in addition to counting the number of shrubs  it can also be analyzed through various aspects such as shrub area statistics and shrub size statistics  the shrub sizes and shrub areas  to some extent  reﬂect the stage of the process of shrub encroached process  under the same climatic conditions  generally smaller shrubs probably mean that the beginning time of shrub encroachment in this area is relatively short  also  the diﬀerence in shrub size and shrub area may also indicate that grassland pressure in this area is more persistent than that in areas with less diﬀerence,1  regional statistics  for the shrub encroached grassland  in addition to counting the number of shrubs  it can also be analyzed through various aspects such as shrub area statistics and shrub size statistics  the shrub sizes and shrub areas  to some extent  reﬂect the stage of the process of shrub encroached process  under the same climatic conditions  generally smaller shrubs probably mean that the beginning time of shrub encroachment in this area is relatively short  also  the diﬀerence in shrub size and shrub area may also indicate that grassland pressure in this area is more persistent than that in areas with less diﬀerence,Drone-assisted studies
762,Recovery of vegetation on former alpine roads~ how long does it take~,Species composition,Complexity,Positive sentiment,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,Field-based studies
757,Recovery of vegetation on former alpine roads~ how long does it take~,Fractional veg. cover,Complexity,Positive sentiment,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,Field-based studies
763,Recovery of vegetation on former alpine roads~ how long does it take~,Species richness,Complexity,Positive sentiment,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,Field-based studies
755,Recovery of vegetation on former alpine roads~ how long does it take~,Species composition,Decision support,Postive sentiment,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,Field-based studies
754,Recovery of vegetation on former alpine roads~ how long does it take~,Fractional veg. cover,Decision support,Postive sentiment,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,Field-based studies
756,Recovery of vegetation on former alpine roads~ how long does it take~,Species richness,Decision support,Postive sentiment,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,a monitoring plan should be an obvious and integrated part of any restoration project  nilsson et al  2016   in order to measure the ecological outcome and develop cost efficient solutions,Field-based studies
898,Using Unmanned Aerial Vehicles to assess the rehabilitation performance of open cut coal mines,"Plant func. type
composition",Decision support,Postive sentiment,a time series of status and land cover maps may also be used for negotiated residual risk assessments at the relinquishment stage  lamb et al  2015   to determine the residual risk payment by the leasing company for covering potential long term costs of managing the final site  as this payment depends on the level of demonstrated certainty of landforms remaining stable and the sustainability of the site  a time series of uav based status and land cover maps with complete spatial coverage may provide more convincing evidence than field data  covering selected parts of a mine rehabilitation site  regulators may often lack adequate tools to assess compliance and sustainability of rehabilitation  hence  this research may also support regulatory authorities that require validation of rehabilitation achievements claimed by mining companies  the main benefit of the developed approach is that it can be used by both mining companies and regulators at different spatial scales  for both small and large polygons  as long as the specific thresholds for the indicators outlined in table 2 are adjusted accordingly,a time series of status and land cover maps may also be used for negotiated residual risk assessments at the relinquishment stage  lamb et al  2015   to determine the residual risk payment by the leasing company for covering potential long term costs of managing the final site  as this payment depends on the level of demonstrated certainty of landforms remaining stable and the sustainability of the site  a time series of uav based status and land cover maps with complete spatial coverage may provide more convincing evidence than field data  covering selected parts of a mine rehabilitation site  regulators may often lack adequate tools to assess compliance and sustainability of rehabilitation  hence  this research may also support regulatory authorities that require validation of rehabilitation achievements claimed by mining companies  the main benefit of the developed approach is that it can be used by both mining companies and regulators at different spatial scales  for both small and large polygons  as long as the specific thresholds for the indicators outlined in table 2 are adjusted accordingly,Drone-assisted studies
1301,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Productivity
(Health/Biomass)",Uncertainty,Neutral sentiment,aboveground biomass is moderately correlated 473 with spectral diversity  r   0 43,aboveground biomass is moderately correlated 473 with spectral diversity  r   0 43,Drone-assisted studies
1305,Fine scale plant community assessment in coastal meadows using UAV based multispectral data,"Productivity
(Health/Biomass)",SENS (Drone sensor),Multispec.,aboveground biomass is moderately correlated 473 with spectral diversity  r   0 43,aboveground biomass is moderately correlated 473 with spectral diversity  r   0 43,Drone-assisted studies
1323,Forest restoration monitoring through digital processing of high resolution images,"Plant func. type
composition",Decision support,Postive sentiment,according to the atlantic forest restoration pact  2013  and viani et al   2017   after four years of restoration implementation the canopy cover should achieve at least 70  to be capable to reduce invasive grass cover and to facilitate tree establishment  our study area has not reached the desired value yet  probably due to the planting methodology  which used lines of early seral tree species interspersed with late seral species that have slower development and higher mortality  the high grass cover found in this study can be explained by the fact that the project area was covered by degraded pastures dominated by urochloa decumbens before restoration activities and by the short time period since the restoration process has started  the invasive grass cover also competes with native tree seedlings species impeding or hindering their growth  rocha nicoleite et al  2017   and this can be seen in our restoration area  bare soil cover was not high  but when it occurs in large areas  it induces soil erosion and nutrient loss  muñoz rojas et al   2016  that call for further restoration interventions  according to the atlantic forest restoration pact  2013  and viani et al   2017   after checking the land cover indicators  a ﬁeld ecological monitoring  phase ii  has to be done in areas where canopy cover is greater than 70   this monitoring is to verify species composition indicators  e g  richness  density  regeneration  based on ﬁeld sampling and it will guide adaptive management techniques aiming to correct the restoration trajectory of the areas if necessary  this two step evaluation  remote sensing and ﬁeld monitoring  should reduce the costs associated with monitoring  since it will not be necessary to measure ﬁeld indicators in all areas  the ﬁeld study related to this monitoring will be presented in a future paper,according to the atlantic forest restoration pact  2013  and viani et al   2017   after four years of restoration implementation the canopy cover should achieve at least 70  to be capable to reduce invasive grass cover and to facilitate tree establishment  our study area has not reached the desired value yet  probably due to the planting methodology  which used lines of early seral tree species interspersed with late seral species that have slower development and higher mortality  the high grass cover found in this study can be explained by the fact that the project area was covered by degraded pastures dominated by urochloa decumbens before restoration activities and by the short time period since the restoration process has started  the invasive grass cover also competes with native tree seedlings species impeding or hindering their growth  rocha nicoleite et al  2017   and this can be seen in our restoration area  bare soil cover was not high  but when it occurs in large areas  it induces soil erosion and nutrient loss  muñoz rojas et al   2016  that call for further restoration interventions  according to the atlantic forest restoration pact  2013  and viani et al   2017   after checking the land cover indicators  a ﬁeld ecological monitoring  phase ii  has to be done in areas where canopy cover is greater than 70   this monitoring is to verify species composition indicators  e g  richness  density  regeneration  based on ﬁeld sampling and it will guide adaptive management techniques aiming to correct the restoration trajectory of the areas if necessary  this two step evaluation  remote sensing and ﬁeld monitoring  should reduce the costs associated with monitoring  since it will not be necessary to measure ﬁeld indicators in all areas  the ﬁeld study related to this monitoring will be presented in a future paper,Drone-assisted studies
568,Can functional leaf traits be used for monitoring wetland restoration~ A comparison between commonly used monitoring metrics and functional leaf traits,Species composition,HAZARD (Hazards present),Negative sentiment,additionally  certain species that were prevalent such as toxicodendron radicans  poison ivy   posed hazards during collection and processing,additionally  certain species that were prevalent such as toxicodendron radicans  poison ivy   posed hazards during collection and processing,Field-based studies
567,Can functional leaf traits be used for monitoring wetland restoration~ A comparison between commonly used monitoring metrics and functional leaf traits,"Productivity
(Health/Biomass)",HAZARD (Hazards present),Negative sentiment,additionally  certain species that were prevalent such as toxicodendron radicans  poison ivy   posed hazards during collection and processing,additionally  certain species that were prevalent such as toxicodendron radicans  poison ivy   posed hazards during collection and processing,Field-based studies
413,UAV-Hyperspectral Imaging to Estimate Species Distribution in Salt Marshes~ A Case Study in the Cadiz Bay (SW Spain),Species composition,Novelty,Positive sentiment,all these previous works support our conclusion that swir  with its highest spectral variability  is a suitable region to discriminate plant species from salt marshes  the si established here can reveal differences in the canopy cover  figure 6   proving that uav hs is able to detect variations in canopy cover at the species level,all these previous works support our conclusion that swir  with its highest spectral variability  is a suitable region to discriminate plant species from salt marshes  the si established here can reveal differences in the canopy cover  figure 6   proving that uav hs is able to detect variations in canopy cover at the species level,Drone-assisted studies
410,UAV-Hyperspectral Imaging to Estimate Species Distribution in Salt Marshes~ A Case Study in the Cadiz Bay (SW Spain),Fractional veg. cover,Novelty,Positive sentiment,all these previous works support our conclusion that swir  with its highest spectral variability  is a suitable region to discriminate plant species from salt marshes  the si established here can reveal differences in the canopy cover  figure 6   proving that uav hs is able to detect variations in canopy cover at the species level,all these previous works support our conclusion that swir  with its highest spectral variability  is a suitable region to discriminate plant species from salt marshes  the si established here can reveal differences in the canopy cover  figure 6   proving that uav hs is able to detect variations in canopy cover at the species level,Drone-assisted studies
1113,Comparison of leaf-off and leaf-on combined UAV imagery and airborne LiDAR for assessment of a post-mining site terrain and vegetation structure~ Prospects for monitoring hazards and restoration success,Topography,SENS (Drone sensor),RGB,although an effective use of uavs in combination with photogrammetry in ecosystems dominated by shrub vegetation has been demonstrated by cunliffe  brazier  and anderson  2016   the quality of acquired dtms depends on the character of the vegetation and terrain,although an effective use of uavs in combination with photogrammetry in ecosystems dominated by shrub vegetation has been demonstrated by cunliffe  brazier  and anderson  2016   the quality of acquired dtms depends on the character of the vegetation and terrain,Drone-assisted studies
1112,Comparison of leaf-off and leaf-on combined UAV imagery and airborne LiDAR for assessment of a post-mining site terrain and vegetation structure~ Prospects for monitoring hazards and restoration success,Topography,Uncertainty,Negative sentiment,although an effective use of uavs in combination with photogrammetry in ecosystems dominated by shrub vegetation has been demonstrated by cunliffe  brazier  and anderson  2016   the quality of acquired dtms depends on the character of the vegetation and terrain,although an effective use of uavs in combination with photogrammetry in ecosystems dominated by shrub vegetation has been demonstrated by cunliffe  brazier  and anderson  2016   the quality of acquired dtms depends on the character of the vegetation and terrain,Drone-assisted studies
32,A robust object-based woody cover extraction technique for monitoring mine site revegetation at scale in the monsoonal tropics using multispectral RPAS imagery from different sensors,Fractional veg. cover,Uncertainty,Positive sentiment,although only an arbitrary spatial unit  the 10 10m cell objects provide an assessment of proportional cover across the site at a scale that is capable of detecting ﬁne scale change  the strong linear relationship between object based proportional woody cover and the manually derived cover estimates shows that this method is an eﬀective means for collecting woody cover information over an entire site  the detection of change at the appropriate scale enables the focus of management activities on targeted areas that require remediation,although only an arbitrary spatial unit  the 10 10m cell objects provide an assessment of proportional cover across the site at a scale that is capable of detecting ﬁne scale change  the strong linear relationship between object based proportional woody cover and the manually derived cover estimates shows that this method is an eﬀective means for collecting woody cover information over an entire site  the detection of change at the appropriate scale enables the focus of management activities on targeted areas that require remediation,Drone-assisted studies
33,A robust object-based woody cover extraction technique for monitoring mine site revegetation at scale in the monsoonal tropics using multispectral RPAS imagery from different sensors,Fractional veg. cover,Decision support,Postive sentiment,although only an arbitrary spatial unit  the 10 10m cell objects provide an assessment of proportional cover across the site at a scale that is capable of detecting ﬁne scale change  the strong linear relationship between object based proportional woody cover and the manually derived cover estimates shows that this method is an eﬀective means for collecting woody cover information over an entire site  the detection of change at the appropriate scale enables the focus of management activities on targeted areas that require remediation,although only an arbitrary spatial unit  the 10 10m cell objects provide an assessment of proportional cover across the site at a scale that is capable of detecting ﬁne scale change  the strong linear relationship between object based proportional woody cover and the manually derived cover estimates shows that this method is an eﬀective means for collecting woody cover information over an entire site  the detection of change at the appropriate scale enables the focus of management activities on targeted areas that require remediation,Drone-assisted studies
35,A robust object-based woody cover extraction technique for monitoring mine site revegetation at scale in the monsoonal tropics using multispectral RPAS imagery from different sensors,Fractional veg. cover,SENS (Drone sensor),Multispec.,although only an arbitrary spatial unit  the 10 10m cell objects provide an assessment of proportional cover across the site at a scale that is capable of detecting ﬁne scale change  the strong linear relationship between object based proportional woody cover and the manually derived cover estimates shows that this method is an eﬀective means for collecting woody cover information over an entire site  the detection of change at the appropriate scale enables the focus of management activities on targeted areas that require remediation,although only an arbitrary spatial unit  the 10 10m cell objects provide an assessment of proportional cover across the site at a scale that is capable of detecting ﬁne scale change  the strong linear relationship between object based proportional woody cover and the manually derived cover estimates shows that this method is an eﬀective means for collecting woody cover information over an entire site  the detection of change at the appropriate scale enables the focus of management activities on targeted areas that require remediation,Drone-assisted studies
1708,Unmanned aerial vehicles as innovative remote sensing platforms for high-resolution infrared imagery to support restoration monitoring in cut-over bogs,Species composition,RELI - (Information acquistion reliant on...),No. of species,among these  the degree of birch encroachment can be used to evaluate cut over bog restoration  as bogs in nw germany and neighbouring areas are naturally treeless and massive birch encroachment leads to the competitive exclusion of target bog plants  tomassen et al  2003   however  there are other problematic plant species such as such as molinia caerulea and juncus effusus that are indicative of unwanted succes,among these  the degree of birch encroachment can be used to evaluate cut over bog restoration  as bogs in nw germany and neighbouring areas are naturally treeless and massive birch encroachment leads to the competitive exclusion of target bog plants  tomassen et al  2003   however  there are other problematic plant species such as such as molinia caerulea and juncus effusus that are indicative of unwanted succes,Drone-assisted studies
1707,Unmanned aerial vehicles as innovative remote sensing platforms for high-resolution infrared imagery to support restoration monitoring in cut-over bogs,Species composition,Complexity,Negative sentiment,among these  the degree of birch encroachment can be used to evaluate cut over bog restoration  as bogs in nw germany and neighbouring areas are naturally treeless and massive birch encroachment leads to the competitive exclusion of target bog plants  tomassen et al  2003   however  there are other problematic plant species such as such as molinia caerulea and juncus effusus that are indicative of unwanted succes,among these  the degree of birch encroachment can be used to evaluate cut over bog restoration  as bogs in nw germany and neighbouring areas are naturally treeless and massive birch encroachment leads to the competitive exclusion of target bog plants  tomassen et al  2003   however  there are other problematic plant species such as such as molinia caerulea and juncus effusus that are indicative of unwanted succes,Drone-assisted studies
1554,Plantation Loblolly Pine Seedling Counts with Unmanned Aerial Vehicle Imagery~ A Case Study,"Individuals
(Indicators/Invasives)",RELI - (Information acquistion reliant on...),Flight parameters,an exception is the age 1 stand  ab18  where the automated methods generally overcounted seedlings  however  based on a visual analysis  many of these overcounts were due to image artifacts not representative of seedlings,an exception is the age 1 stand  ab18  where the automated methods generally overcounted seedlings  however  based on a visual analysis  many of these overcounts were due to image artifacts not representative of seedlings,Drone-assisted studies
1060,The hierarchy of predictability in ecological restoration~ are vegetation structure and functional diversity more predictable than community composition~,"Plant func. type
composition",Novelty,Positive sentiment,analyses of trait based metrics can be more informative than community composition because they can provide functional explanations for why certain species change in abundance  hedberg et al  2013   and changes in composition are less deterministic than changes in functional traits,analyses of trait based metrics can be more informative than community composition because they can provide functional explanations for why certain species change in abundance  hedberg et al  2013   and changes in composition are less deterministic than changes in functional traits,Field-based studies
